portugues,tupi_antigo
Dissestes tolices?,Mba'epûera peîépe?
"A gente mesma acovarda-se, consentindo-o",Asé aé oîemoabangá i mborypa
Convenço-o,Aîmoapapub
E a aproximação do parto de uma grávida não é causa de se ter medo também?,"A'epe muru'apora membyrasy kakara, na nheangûaba bé ruã?"
Nomeia os muitos designativos de teu corpo para mim,Esenõî nde reté renõîndabetá ixébe
Desviei-me,Apîá
"Após passar o seu parto, Santa Maria levou seu filho Jesus para o templo","O membyraragûera kûab'iré, Santa Maria o membyra Îesus rerasóû Tupãokype"
Induziste alguém a coisas más em seus futuros atos?,Ereîmoîesuerype abá mba'eaíba ri sekorama resé?
Detestas completamente suas obras?,Ereroŷrõ-mbápe sekó?
alguns santos,amõ amõ santos
"Não acabam os desejos sensuais, a lascívia, as maledicências","N'opabi moropotara, tesãînana, marã'é"
Segundo o julgamento de nós por Deus,Tupã îandé rekomondykaba rupi
Destila tuas lágrimas,Nde resa'y eîmondyky
Eu sou pontudo,Xe rapûá
nas grandes cabeças deles,i akangusuî
Não me mexo,N'amyĩ
"Matá-lo-ei futuramente, com certeza",Aîuká ipó irãne
De cada um de vós o Senhor Deus encarregou um anjo,Pe îabi'õ Pa'i Tupã karaibebé moingóû
"Vamos, como nós, para enfeitar nossas almas, para levá-las diante dele","T'îasó îandé îabé îandé 'anga moîegûaka, serasóbo sobaké"
"Arrepende-se muito de sua maldade, não querendo repeti-la",Oîmboasy-katu o angaîpaba seroîeby-potare'yma
Coisa beiçuda!,Xe rembegûasu - Eu tenho beiço grande Mba'e-embegûasu!
Fazendo sua esposa trabalhar,O emirekó moporabykŷabo
Para a coutada do rei ele foi para cortar madeira,Morubixaba ybyragûype ahẽ sóû ybyrá-'apa
Eu tenho vermes (na carne podre),Xe rasok
Uma roupa vermelha colocando nele,Amõ aó-pyranga mondepa sesé
"Com um neto ou uma neta, com algum descendente não pode ninguém se casar",O emiminõ koîpó o emiarirõ amõ îeapyká resé nd'e'ikatuî abá omendá
"homem parvoeirão, ignorantão",abá-tekokuabe'ymusu
Arranca-te o nome para que sejas muito famoso,Eîerok ta nde rerapûãngatu
"Eu tenho os buracos das orelhas perdidos (isto é, não ouço nada)",Xe apysakûá-kanhem
"Tornam-nos famosos também, em suas bocas vilipendiando-os","Oîmoerapûan-y bé, o îurupe i momoxŷabo"
fazendo-me estar sozinho,oîepebẽ xe moingóbo re'ĩ
Faço-a soar,Aîmimby
Este caminho também é penoso,Ikó pé bé iî abaí
"barco de navio, barco salva-vidas",ygá-membyra
Quem aqui dá a cara?,Abápe ké sobasẽ?
"Vieste para te confessar, ó meu filhinho?","Enhemombegûabo ereîur, xe ra'yrĩ gûé?"
Com algum neto seu não pode ninguém se casar,O emiarirõ amõ resé nd'e'ikatuî abá omendá
indo eu de noite,putũ gûixóbo
Piquei-o,Aîopi
Eu me fico levantando nas pontas dos pés,Xe pyta'ã-ta'am
Mencionaste o nome de alguém para o padre?,Ereîmombe'upe abá rera abaré supé?
"peso de orelha, orelheira",nambi-paîa
"Que retire as coisas más de minha alma, enchendo-a com seu amor",T'ogûenosem mba'e-aíba xe 'anga suí o poroaûsuba resé i moynysema
"Como seus discípulos procederam, vendo tratar assim a seu senhor?",Marãpe i boîá rekóû emonã o îara rerekó repîaka?
Eu tenho dores de parto,Xe membyrasy
"A chuva ficava amanhecendo a cair, enchendo o mar","Oky-ko'ẽ-ko'ẽ amana, paranã momungábo"
Logo depois que morrerem irão para o céu os que foram semelhantes a algo assim?,O manõ riremẽ serã emonã nungara sóû ybakypene?
Levei todos,Opab arasó
"agora mesmo, agora neste instante",ko'yr-y bé
"Irra, gambá!","Erĩ, sarigûeîa é!"
querendo trazê-los aqui,iké seru-potá nhẽ
Instruir os que são ignorantes,I tekokuabe'ymba'e motekokuaba
"Envaideço-me sem motivo (isto é, de coisas más)",Anhemoeté-a'ub
Eis que aqui estou para te procurar,Kó xe rekóû nde reká
Não houve sangue em teu parto,N'i tybi tugûy nde membyrasápe
Afasta-te! Vai-te daqui já!,Eîepe'a! Ekûá ké suí ra'a!
Tonsurei-o,Aîmoapytereb
"terra avermelhada, barro",yby-pytanga
Como peregrinos é que a gente mora nesta terra,Ataramo é asé rekóû ikó yby pupé
A senhora desta aldeia compadece-se grandemente das pessoas,Kó tabyîara ndaeté i poraûsubari
"Tua alma está muito branca, como roupa lavada","Morotĩngatu nde 'anga, aoba i potukapyra rame'ĩ"
Eu sou visitador,Xe posubixûer
Faz-te subir consigo hoje,Nde reroîeupi kori
"O cauim transbordante nas igaçabas, depois disso, os atrai, e, igualmente, as cuias das velhas","Ygasápe kaûĩ-tuîa a'e ré îamomotá, oîoîá gûaîbĩ rekuîa"
"Teus pecados estando a aumentar, com efeito",Nde rekomemûã rumõ-rumõmo nhẽ
muitas chamas de fogo,tatá-endy-etá
Vem para me governar,Îori xe rekomonhanga
Desvirginaste alguma menina?,Ereîmombukype kunhataĩ amõ?
Aquele mesmo,Apó é
Aumentaram as riquezas para mim,Ono'ong mba'e ixébo
a união de Deus-Filho com nossa carne,îandé ro'o resé Tupã-Ta'yra îemonana
"Eis que, como está no céu, Nosso Senhor está dentro do pão","Akó ybakype ogûekó îakatu, Îandé Îara rekóû miapepûera"
Havemos de anunciar futuramente sua partida,T'îaîmombe'u é irã i îepaboka
Também queima vivo para sempre,Sekobé abé okaî aûîeramanhẽ
Eu dou à luz,Xe membyrar
"No caso de ser difícil frustrar-se essa minha morte, que não se faça minha vontade","Aîpó xe re'õnama rambûera abaíme, t'onhemonhang umẽ xe remimotara"
"Assim tratado, certamente fica bem, satisfazendo-se com o que o distingue","Emonã serekopyra, rakó opytá-katu, o apysykamo o moingoeara ri"
Temos nossas coisas comuns,Îarekó îandé îomba'e
Embelezando-te totalmente,Opabĩ nde momoranga
Percebendo que a morte sucederia a si,O îoesé te'õ 'aragûama andupa
"Vem, ó meu senhorzinho!","Eîori, xe îarĩ gûé!"
madeira ou armação para futura casa,ó-kangûama
Desde ontem não como nada,Kûesé bé mba'e n'a'uî
A seus próprios companheiros não querem bem,O irũ n'oîamotari
"Os temiminós de dia confessam seus pecadilhos, somente",Temiminõ 'arybo nhẽ oîmombe'u o angaîpá-mirĩ anhõ
Faço papa dela,Aîka'u
Trata-la-á como uma escrava?,Miaûsuba îabépe serekóûne?
Querendo afastar de si mesmo o transtorno,O îosuí pubura pe'a potá
"Que me livre Deus de meus inimigos, em toda parte, em minhas dificuldades",Ta xe pysyrõ Tupã xe sumarã suí kûepe marã xe rekoápe
Eu sou sábio,Xe mba'ekugûab
os que querem casar-se,omendá-potaryba'e
o que é (ou deve ser) feito morrer,i momanõmbyra
Ferrei-o,Asapy
Fez-me arder as pernas,Xe retymã-moîosar
Muito escura é a alma do que não é batizado,O pytumimbykamo nhẽ nhemongaraibypyre'yma 'anga rekóû
"O dia em que esses fatos se consumaram (lit, tempo da consumação desses fatos) os cristãos não estavam felizes",Ara kó tekó aûîesaba cristãos rorybe'ymamo
Nós vos matamos,Oré opoîuká
Fi-la engravidar,Aîmomburu'a
Finjo que não o quero,N'aîpotare'ym-a'ubi
minha antiga região,xe retãmbûera
coisas que costuma sofrer,mba'e o emimboraratyba
Veio logo detrás de mim,Xe atuaî bé turi
Esfreguei-lhe a caspa,Aîpiku'i-momemûã
"Indo, eu me escafedo",Xe rebinhỹ gûixóbo
Estou desleixando,Atumbé-tumbek
"Vamos, devagar, para fazer o assalto","T'îasó, mbegûé, îapu'ama"
"Assim, na verdade, eu determinei",Emonã nakó xe rekopotari
Já se juntaram a eles muitos moços bebedores de cauim,Onheŷnhang umã sesé kunumĩetá kagûara
"Veio de novo, achando-os novamente no sono",Our benhẽ i kera pé nhẽ obasemano
"Eu sou moçacara, eu sou forte","Xe posaká, xe ratã"
"Assim como esta água lava o corpo da gente, aquela também (lava)","Akó 'y asé reté moîasuka îabé, akûeîa îabé"
Inchei-me muito as bochechas,Anhemoatypygûasu
Nem mesmo água eu tenho,Y tiruã n'arekóî
a segunda vez dele,i mokõîa
"Estas rãs, que as comas em retribuição por isso",Ikó îu'i t'ere'u sepy resé
arroto fétido,eú-rema
"mingau grosso, massa (que se punha sobre queijo, manjar branco, etc)",apytaîyka
"Serão muito terríveis os fatos, futuramente, para os que são maus, levantando-se com sua fealdade, com seus corpos escuros","I abaeté-katu irã tekó i angaîpaba'e supéne, o poxy, o eté-una reropu'ama"
prender tapuias,tapuîa rara
Eu lhe pélo a cabeça,Aî'abo'o
Tosei-o bem,Aîmoapererá-katu nhote
Encurtei-o,Aîapûapyk
Tu falaste mal de alguém?,Nde îuru'arype abá amõ resé?
"muitos outeiros, serrania",ybyty-bytyra
"O sol brilha, certamente, após passar a grande noite","Kûarasy, nipó, oberá, putunusu kûab'iré"
"Mas os doentes a comem, bem certamente",Mba'easybora-te aîekatu i 'uû
Quem são os que rogam a Deus por nós?,Abá-abápe asé resé Tupã mongetasaramo sekóû?
água corrente,y-syryka
Eis que se aproxima minha vida futura,Okakar kó xe rekoberama re'a
"Sarauaia, vem para beber cauim","Saraûaî, îori ekagûabo"
"Após arrependerem-se de seu procedimento, os índios vão confessar-se","O ekó moasy riré, abá sóû îemombegûabo"
Não trabalhamos neste dia,N'îaporabykyî kó 'ara pupé
Remo a canoa,Aygá-pukuî
diabo mau,anhangaíba
Os furtos de fulano são famosos,Serapûan ahẽ mondá
Sede corajosos junto de vosso inimigo,Peîkoeté pe robaîara pé
"Serão muito fedorentos, serão muito podres, corroídos de vermes e de bernes","I nemeté, i tuîuketé, tasoka, ura remimongûyamone"
cerca feita de ramas,ybyrá-pokanga
"Eu sou mediano, eu não sou grande nem pequeno",Xe boîá
Sou um novato,Aîkó pysasuramo
Riscaram todo o teu corpo com ferro pontiagudo,Opá nde reté raíri itatiãîa pupé
"Embora não agisse ela velhacamente, bateste com o pau na tua esposa","Marani n'oîkóî îepé, ereropûar ybyrá nde remirekó resé!"
Culpei-o falsamente,Asenõî tenhẽ
Por isso Deus transformou a costela de nosso pai primeiro em sua esposa?,Emonãnamope Tupã îandé rubypy arukanga nhẽ apóû semirekóramo?
Tive filhos gêmeos,Xe membykõî
Mas livra-nos tu das coisas más,Oré pysyrõ-te îepé mba'e-aíba suí
"Embora vos tivésseis esforçado, estivestes deitados só pouco tempo junto a mim, não dormindo","Pesa'ang îepé peuî korite'ĩ nhõte xe pyri, pekere'yma"
Fiz-me rapaz,Akakuab
Dentro de tuas entranhas como criança estando (deitado),Nde ybỹîa pupé pitangamo oúpa
Rouba-o aí por perto,Mbype emondarõ sesé
Então as estrelas cairão pouco a pouco,A'ereme îasytatá o apakuîamo
"Ó meu filhinho, lembra-te de que os que pereceram são objeto de esquecimento","Xe ra'yrĩ gûé, tesaraîtabamo okanhemba'epûera rekó resé nde ma'enduar"
Tomamo-lo de ombro a ombro,Oîoybari orogûar
"ao longo do dia, todo o dia",ara pukuî
Se não fosse ele ter ido,Osó é ahẽ îabynomã
Ele tem a água esgotada,Ty-pab
"pessoa garrida, elegante, muito enfeitada com cores alegres e brincos, jocosa",araakasybora
"tempo, lugar, instrumento, causa, modo, companhia, etc de matar",îukasaba
"E o que evoca a Deus pelo que não é verdade, que acontece?","A'epe supindûare'yma resé Tupã renõîndara, marã?"
Detestando-se em seu coração,O py'ape oîeroŷrõmo
teu sêmen ejaculado,nde ra'y-pupuka
A ponte derrubam,Îarybobõ omonguî
curral dos porcos,taîasu rokaîa
Fiz-me homem,Xe abagûasu
"Assim tratada, certamente, uma pessoa chega bem",Emonã serekopyra rakó abá obasẽ-porang
Eu fico gritando dormindo,Xe kerasẽ-rasem
Não sentimos cansaço,N'îaîandubi kane'õ
"Trouxeste muitas coisas, porventura?",Ereruretá serã?
"Cortei o pé dela (isto é, da parreira, da mandioca, etc)",Aî'ybab
Por acaso arrancaram sua roupa?,Oîaobok serã gûá?
"Para uma grande escuridão, na verdade, iriam",Pytunusupe émo i xóûmo
Porventura fazes isso à toa?,Aîpó nhẽ-pipó ereîkó?
quando a ave bate asas,gûyrá pepekeme
"Eu, em vez disso, quero presas em alguns bêbados","Xe-te, xe rembiá-potá sabeypora amõ resé"
injúria recíproca (com palavras),îoa'o
imagem de Deus,Tupã ra'angaba
"pelouros grandes que se faziam da mandioca curtida, com que depois davam cor à farinha de guerra",u'i-apu'a
Meu filho!,Xe ra'yt!
"Faço a brincadeira, o jogo",Nhemosaraîa aîmonhang
Por que põe sua saliva no nariz da gente?,Mba'erama ripe asé tĩme o endy moíni?
"Forçaste alguma mulher, sendo tu ladino com ela?","Ereîukaípe kunhã amõ, sesé nde ara'apy'iramo?"
"Esconde-te, fica quieto","Enhemim, nde kyrirĩ"
"Cura-se algumas vezes, segundo os desígnios de Deus para a gente","Opûerab amõnyme, Tupã asé rerekokuapaba rupi é"
Deixa que venha,T'oúne turi
Eu sou fibroso,Xe raîy-raîyk
Fiquei-o oprimindo,Aîopyîopyk
"E mentindo aquele que invoca sua própria alma, a alma de alguém ou também algum santo que está no céu, que acontece?","O'anga koîpó abá 'anga koîpó santo amõ ybakype tekoara renõîndara abé o îuraragûaîamo nhẽ, marãpe?"
entrando em tua casa,nde rokype oîkébo
"cabeleira, peruca",agûera
Vivendo como se estivessem unidos,T'oîese'ar-y berame'ĩ oîkóbo
guará da cara manchada,gûaraobanhana
Que é o que será mantido para sempre neste mundo?,Mba'epe aûîeramanhẽ serekopyrama ikó 'ara pupé?
poucas vezes,amõamõme é
Isso dirá somente a ele ou contará ao padre para que o repreenda,Aîpó e'i nhote i xupéne konipó abaré supé i mombe'uû i akakapagûama reséne
Alimento muitos,Aîopoîusu
Acudi-o,Asopenhan
É verdade isso!,Anhẽ ûĩ!
de noite (não costumeiramente),putunyme
"sábio fingido, pseudo-sábio",mba'ekugûapara'uba
"Ah! Na verdade hei de me enfeitar, pintando-me de preto",Erĩ! Aûîeté-pakó aîegûak ûinhemoúna
Tenho meu modo de ser diferente,Xe rekó-aé arekó
"Lavou-se as mãos à vista da multidão (isto é, como o que a multidão vê)",Oîepó-eî te'yîa remiepîakamo
Nem por isso eu vou para longe,Ndaroîaî mamõ xe sóû
Eu sou mal-encarado,Xe robasy
Cuidado ao esconder-lhe o que faz,Tîaté i mĩme i xupé marã oîkóbo
para quê? para que coisa? a quê?,mba'e supé?
Sobre quê será nossa conversa?,Ma'e resé îandé nhomongetá?
Os padrinhos junto ao padre ou a outra pessoa não podem casar-se com o que batizaram,Abaré koîpó amõ abá pyri morerokarûera nd'e'ikatuî omendá gûemierokûera resé
"Ai, quem me dera ir com ele hoje!",Asó temõ kori ahẽ irũmo mã!
Pesco com rede,Aîeporakar
Há de ser coisa insignificante somente,A'uba nhote i por re'a
Não porque eu fizesse algum mal,Na marã xe rekóreme ruã
"Isto era muito preto, de fato",Moroũ-mbyry nakó
Lado a lado seus cadáveres ao longo do mar estavam,O îoybyri se'õmbûera paranã ybyri i kûáî
É o modo de ser deles? (ou É natural deles?),Sekoaba nhẽpe?
Atrás de mim ele veio,Xe pytaî turi
Em tua direção fazendo-me voltar,Nde koty xe rerobaka
Queres sair em vão de debaixo de nossas mãos,Eresẽ-potá tenhẽ oré pó gûyra suí
Eu sou torto,Xe apẽ
"Todos eles voltaram para trás, caindo no chão de costas","Opá i îeakypûereroîebyri, o atukupé pyterybo o'á ybype"
"Ergueu-se com as feridas de suas mãos, de seus pés e de seu flanco?","O pó, o py o yké kutukagûera bépe erimba'e ogûeropu'am?"
Ele te chama particularmente,Nde katu nde renõî
Convenci-o a ir,Aîmoîekûer
"Aqui alguém está, certamente",Ké abá rekóû anhẽ
"Que transformou outrora em mundo? (isto é, de que fez o mundo?)",Mba'epe erimba'e oîmonhang 'aramo?
a maldade de suas palavras,o nhe'enga poxŷagûera
Tragamos quaisquer coisas para esses,T'irur ma'e tiruã anga pé
Pintaste-te a boca para sorrir para os homens?,"Ereîeîuru-mopiningype, abá supé epukamirĩamo?"
"Que bom que existes, ó meu senhor!",Aûîebeté ereîkó xe îar-y gûé!
Que cheguemos ao alto,Ybaté t'orobasẽ
Santa Maria é o seu nome,"""Santa Maria"" sera"
Constantemente,-Mba'e-mba'eremepe asé îeruréû i xupé? -Îepi nhẽ - Em que ocasiões a gente reza para eles?
Ele mesmo está em todas as igrejas?,A'e memẽpe tupãoka îakatu i kûáî?
"Suponho eu que ele tenha ido, de fato","""Osó ipó"" a'ea'ub niã ixé"
as que vão para o purgatório,Purgatório pupé osoba'e
Eu somente nesta aldeia morava,Xe anhõ kó taba pupé aîkó
Derrama tuas lágrimas,Eîmo'ẽ nde resa'y
Piorei muito de meu grande mal,Aîerekoaibeté xe angaîpá-katu suí
"Mas quem, outrora, como vossas coisas os índios deu?","Abá-tepe, erimba'e, pe mba'erama resé apŷaba me'enga'ubi?"
Eis que a cada Páscoa um prisioneiro fazeis-me libertar sempre,Aretegûasu îabi'õ ã mundepora moîepé peîmosemukar ixébe îepi
Tu te alegras quando um homem te apalpa?,Nde rorype abá nde abykyreme?
"Vela bem por mim, mandando que não me façam cair","Ema'enãngatu xe ri, xe mbo'are'ymuká"
"De cada dez, repartir uma de nossas coisas com Deus",Opakombó îabi'õ Tupã supé oîepé asé mba'e moîa'oka
Que perdoe Deus a nós,T'i nhyrõ Tupã orébo
Os homens esvaziam as cuias,Oîmboapy abá kuîaba
Não sei se morrerei nesta noite que surgirá,N'aîkuabi ikó pytuna o'aba'erama pupé xe re'õnama
Eu sou curto,Xe apûa'ĩ
Catei-lhe a cabeça,Aî'abiú
Em que situações a gente reza para ele?,Mba'e-mba'eremepe asé îeruréû i xupé?
pano de linho,ybyraoba
Hei de louvar muito meu pai,Aîmoeté-katupe xe ruba ká
"dali, daquele lugar",ûĩinga suí
"Se longamente ficas pranteando teus amigos ou teus parentes, por que não queres chorar nem um pouquinho por causa de teus antigos pecados?",Kype rakó ereín nde raûsupara koîpó nde mũ rapirõmo marãpe nde rekoangaîpagûera resé é nd'ereîase'o-mirĩngatutenhẽ-motari?
Vela por nós,Ema'ẽngatu oré ri
Não está dia,Nd'e'i 'ara
Fazendo-a estar como presa de Aguaixaí,Agûaîxay rembiaramo i moingóbo
Estou menstruada,Aîkoaíb
não há de ser (futuro),aani-xûé ipóne
A gente pede a Deus somente pelas coisas que deve comer?,Mba'e i 'upyra resé nhõpe asé îeruréû Tupã supé?
Pegou-se fortemente sua roupa com que ele foi castigado por o ficarem ferindo?,Oîaratã serã i aoba i nupãsagûera i moperé-perebagûera resé?
"Até mesmo seus ossinhos a gente cultua, tendo-os no pescoço","Asé i kangûerĩ tiruã momba'etéû, o aîuri serekóbo"
melado ou mel de cana-de-açúcar,u'ubae'ẽ eíra
Fico a espojar-me,Anhemonduby-ndubyr
Como um galo te deitas,Gûyrasapukaîa îabé ereîetu'u
Empanturrei as pessoas,Aporomoebykatã
levemente,bebuî-nhõte
Que não esteja o maldito perto de mim,T'oîkó umẽ moxy xe ypybo
"Tomando o diabo, o maldito fica pisando","Serubu rá, muru ri opurũ-purung"
Vou para fazer resgates,Asó gûiporepŷana
"Enfim, os moços escondem seus muito maus procedimentos","Aûîé, kunumĩgûasu o ekó-aíbeté oîomim"
"Nosso espião vá primeiro, à frente de nós",Îandé manhana ranhẽ t'osó îandé renondé
Atraio a Pedro,Aîmomotar Pedro
Ficaste dono daquilo que alguém esqueceu?,Ereîpysyrõpe abá resaraîagûera?
"Vomitaste cauim, brigando por causa dele?","Ereîmoîebype kaûĩ, sesé nde apore'ymamo?"
Estareis aflitos hoje,Pe poreaûsu korine
Ele é o anjo que encomenda o enforcamento,"Karaibebé a'e, moroîubyka pûaîtara"
"Meu irmão, perdoa tu a mim","Xe rybyt, nde nhyrõ xebo"
"De manhã, cuidando de sua comida",Ko'ẽme gûemi'urama resé onhemosaînana
Amarrei-lhe as pernas,Aîkupy-pûar
"Mataram, na verdade, a outra pessoa que não aquele assassino",Ahẽ morapitîarûera taté nhẽ anhẽ ybŷá oîuká
Sede valentes junto de vosso inimigo,Peîkoeté pe robaîara pé
É verdade isso?,Anhẽpe ûĩé?
Procedeste segundo a determinação do padre a ti?,Ereîkópe abaré nde moingoaba rupi?
milho de que se faz pão,abati-tinga
Dou de beber às pessoas,Apore'ym
"Vinde, levai os malditos, erguendo-os para sapecá-los em nosso fogo, derretendo-os","Peîori, perasó muru, supi îandé ratápe sapeka, i momembeka"
Que eu afaste o proceder antigo para que não esteja no mal,Tekopûera t'aîpe'a t'aîkó umẽne marani
"Os bem-aventurados e os santos no céu, que vêem a Deus, ultrapassam o número dos dias que o ano tem","Marangatuba'e, santos ybakype, Tupã repîakaretá, osasá 'ara ro'y remierekó papasaba"
Grudei penagens nele,Aîgûaîaý-moîar
Enforquei-o,Aîubyk
De mim comendo-as todas,Xe suí i gûabo pá
"Nós, enfim, havemos de voar para o paraíso",Îandé té t'îabebé Tupãrorypápe nhẽ
Fogo em que se elimina a dívida de nossos pecados,Tatá asé angaîpaba repy mondykaba
Não deixam de ser presas de nossas mãos os que se confessam,N'opyki nhemombegûara îandé pó suí sembiara
Caço,Aka'amondó
Eu sou garrido,Xe araakasyk
Longamente estava nosso pai primeiro chorando,Ipuku erimba'e îandé rubypy rekóû îase'o monhanga
Não se hão de esvanecer nem um pouco minhas palavras acerca daqueles futuros fatos,N'i rambûé-mirĩî xûé aîpó tekorama resé xe nhe'engane
"Fizeste o pajé ser feiticeiro, acreditando nele?","Ereîmoupixûarype paîé, serobîá?"
Erra muito o homem que se fica fazendo pajé?,I angaîpabetépe abá onhemopaîé-paîébo?
eco de minhas palavras,xe nhe'ẽ-'anga
Bem nesse momento perdoou a Pilatos,A'eîbé Pilatos supé oîerekûabamo
"coisas que se criam no mar, a fauna marítima",paranãmbora
"É discreta, falando aos homens",I kunusãî abá supé onhe'enga
Meus pés escorregaram,Xe py-syryk
A todos os homens ama para o bem deles,…Opabĩ abá raûsubi i katurama resé
Mostra o erro de minhas palavras,Eîkuabe'eng xe nhe'engaipaba
Ainda hoje fazendo-os cair,A'ebé kori i mbo'ane
Eu meço a profundidade do rio,Aty-ypy-a'ang
"Aprende acerca da palavra de Deus em que crerá, que cumprirá também",Onhembo'e Tupã nhe'enga o emierobîarama resé o emiporama resé bé
Não te apropries das coisas de ninguém,Teumẽ abá mba'e resé é mondarõmo
"fugitivo, o que foge",kanhembara
"margem de rio, praia, ourela de mar ou rio",y-embe'yba
Como modo de espantar o diabo,Anhanga mondyîtabamo
Não quero ir para longe,N'asó-potari mamõ…
Ajudas teu pai e tua mãe?,Ereîpopytybõpe nde ruba nde sy abé?
E agora?,ko'yr é-katuetépe?
Embelezou-te grandemente,Ndaeté nde momorangi
Uma púrpura colocando nele,Amõ aopyranga mondepa sesé
Deus-Pai fez-te vir,Tupã Tuba nde mbouri
Força de minha alma,Xe 'anga taŷaíba
"Já chega, certamente!",Aûîé ipó!
Quantos são os mandamentos dele à gente?,Mobype a'e asé rekomonhangaba?
Que ele me leve para seu lugar de felicidade,Ta xe rerasó og orypápe
"Quanto mais um caminhante por um caminho que não conhece se aflige, mais deseja logo ver o dia","Memeté rakó pé o eminguabe'yma rupi oguataba'e o angekotebẽnamo, korikorinhẽa'ub 'ara repîaki"
Contando as maldades escondidas de alguém,Abá angaîpá-nhemima mombegûabo
"Seus antigos pecados fazendo estar diante deles, seus furtos também",Sekomemûãagûera serekóbone sobaké bé i nhemondá bé
"Acredita, meu padrinho, hão de te apresar hoje","Erobîá, xe rubangab, ta nde moembiá kori"
"Criancinha muito bela, creio muito em ti","Pitangĩ-porangeté, orogûerobîá-katu"
Com seu filho não se importando,O a'yra resé oputupabe'ymamo
Estando como seu guardião (ou sendo seu guardião),Serekoaramo ûitekóbo
Entisnei o rosto dele,Asobaún
Prendi-o a uma pedra,Aîmoín itá resé
Pelo sinal da Santa Cruz livra-nos tu,Santa Cruz ra'angaba resé oré pysyrõ îepé
"à flor d'água, na superfície da água",y-apé 'arybo
"Este mundo é a terra prometida dos animais quadrúpedes, dos peixes e dos pássaros","So'o, pirá, gûyrá retãme'engaba é ikó 'ara"
as juntas da cabeça,akanga îepotasaba
Como será que um habitante do inferno viveria neste mundo se Deus o fizesse viver fora dali um mês?,Marãeté'ĩ ra'umope amõ Anhanga ratá pora rekóû ikó 'ara pupé oîepé îasy Tupã ebanõî suí o moingobérememo?
"Alegrai-vos, meus filhos, por minha causa","Pe rory, xe ra'yretá, xe ri"
Ajuntai-vos todos com eles!,Penheŷnhang pabẽ sesé!
"Perdoa-lhes, ó meu pai!","Nde nhyrõ i xupé, xe rub-y gûy !"
o que foi pai,tugûera
"Como o vento zune, tremendo por causa de sua bravura","Ybytu îabé osunung, î abaeté suí osyîa"
Que venha para levá-los todos,T'oú serasóbo pá
Poucos moram nesta aldeia,Mokõînhõ kó taba pupé sekóû
Eu sou um homem vadio,Abá-ekotenhẽ ixé
Eis que aqui estou,Aín
Eu sou peçonhento,Xe ranhasy
Entrei para estar fundeado,Aîké gûitupa
Eis que a virtude somente há de ser o modo de se libertar da morte,Tekokatu anhõ ã te'õ suí îepysyrõsabeté re'a
Aquentam-me,Xe pé
trazendo farpas junto com o arco,arupare'aka îurupara ndi seru
"diabo mau, assassino","anhangaíba, morapitîara"
"É, totalmente, uma comida de morte",Te'õ remi'u pabẽ
Coisa beiçuda!,Mba'e-embegûasu!
Os pagãos esfolaram São Bartolomeu,Serokypyre'yma São Bartolomeu piroki
"Eis que meu corpo não está disposto, amolecendo","Xe reté ã n'oîkoetéî, omembeka"
água sem mistura,y anhẽ
"armeiro, fazedor de armaduras",itaaoba monhangara
"outro dia, já não agora",irã é irã
Quero muitíssimo todas as aldeias destruir,Aîpotá-katutenhẽ opabĩ taba mondyka
meu parceiro,xe rapixara
"remédio contra dor de picada de cobra, antídoto contra veneno de cobra",mboîasy-posanga
Eu estou úmido,Xe akymaíb
"Para onde meus amigos foram, sem mais?",Marãngotype xe îekotyasaba sóû-'ĩ
Pelo Deus verdadeiro faço perguntas a ti,Tupãeté resé aporandub endébe
Dar também o quinhão de Deus naquilo que plantou primeiro,O emitymbûerypy pupé Tupã potá-me'engano
Entornei-o,Anhosen
"ajuntamento de cana-de-açúcar, canavial",u'ubae'ẽndyba
"Afastando o diabo, assim como a morte","Anhanga pe'abo, te'õ resebé"
Grita tu!,Nde rasẽ!
os parentes de minha mulher,xe ra'ysé
Fizeste poções?,Mosangape ereîapó?
"Fica muito feliz, de fato, o homem que se defronta com a morte, encontrando o que cura",Sorybeté rakó abá tegûama porarasara moroposanongara supé ogûasema
"Um ou outro, porventura, foi mau, às vezes","Oîepé-ĩombé, nipó, i angaîpab amõme é"
Os que vivem para isso transgridem muito a lei,Ikoba'e resé tekoara oîaby-eté tekó
Eu não duro muito,Na xe rekosûeri
"Meu senhor, eis que eu não sou digno de que entres em meu coração","Xe îar, na xe angaturami ã a'emo ereîké xe py'ape"
Que ele faça Deus lembrar-se de nós,A'e îandé resé Tupã t'omoma'enduar
instrumento de fender lenha,îepe'a-mobokaba
Ainda o faço,A'é byter i monhanga
Quais são os nomes da Santíssima Trindade?,Marã-marãpe Santíssima Trindade rera?
Moqueei-o,Aîmoka'ẽ
"Todo seu sangue deu, morrendo","Opá og ugûy me'engi, omanomõ"
"Meu nome é ""Sapo Achatado""","Xe rera ""Kururupeba"""
"Curou-o, somente tocando sua orelha","Oîposanong, i nambi atõîa nhõte"
A que coisa chamamos graça?,Mba'e supépe asé graça i 'éû?
Estão bem felizes,Sory-porang
Eu tenho bens,Xe mba'e
"Comeu aquele fruto, causa de morte?","O'u nhẽpe a'e 'ybá, tegûama?"
Eu sou redondo,Xe apu'a
à medida do que havia delas,i îaîbeĩîé
Os opostos daqueles pecados assim se enunciam,Aîpó tekoangaîpaba robaîara nã e'i
